3.68338 	100 	7.18268e+16 	7.4703e+16 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
7.36676 	100 	5.02787e+17 	5.22921e+17 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
11.0501 	100 	1.36471e+18 	1.41936e+18 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
14.7335 	100 	2.65759e+18 	2.76401e+18 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
18.4169 	100 	4.38143e+18 	4.55688e+18 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
22.1003 	100 	6.53624e+18 	6.79798e+18 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
25.7837 	100 	9.122e+18 	9.48728e+18 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
29.467 	100 	1.21387e+19 	1.26248e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
33.1504 	100 	1.55864e+19 	1.62106e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
36.8338 	100 	1.94651e+19 	2.02445e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
40.5172 	100 	2.37747e+19 	2.47267e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
44.2006 	100 	2.85152e+19 	2.96571e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
47.8839 	100 	3.36868e+19 	3.50357e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
51.5673 	100 	3.92892e+19 	4.08626e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
55.2507 	100 	4.53227e+19 	4.71376e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
58.9341 	100 	5.17871e+19 	5.38609e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
62.6174 	100 	5.86825e+19 	6.10324e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
66.3008 	100 	6.60088e+19 	6.86521e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
69.9842 	100 	7.37661e+19 	7.672e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
73.6676 	100 	8.19543e+19 	8.52362e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
77.351 	100 	9.05735e+19 	9.42005e+19 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
81.0343 	100 	9.96237e+19 	1.03613e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
84.7177 	100 	1.09105e+20 	1.13474e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
88.4011 	100 	1.19017e+20 	1.23783e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
92.0845 	100 	1.2936e+20 	1.3454e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
95.7679 	100 	1.40134e+20 	1.45746e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
99.4512 	100 	1.51339e+20 	1.57399e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
103.135 	100 	1.62975e+20 	1.69501e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
106.818 	100 	1.75042e+20 	1.82051e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
110.501 	100 	1.8754e+20 	1.9505e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
114.185 	100 	2.00468e+20 	2.08496e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
117.868 	100 	2.13828e+20 	2.22391e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
121.552 	100 	2.27619e+20 	2.36734e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
125.235 	100 	2.41841e+20 	2.51525e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
128.918 	100 	2.56493e+20 	2.66765e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
132.602 	100 	2.71577e+20 	2.82452e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
136.285 	100 	2.87092e+20 	2.98588e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
139.968 	100 	3.03037e+20 	3.15172e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
143.652 	100 	3.19414e+20 	3.32204e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
147.335 	100 	3.36221e+20 	3.49685e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
151.019 	100 	3.5346e+20 	3.67614e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
154.702 	100 	3.71129e+20 	3.85991e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
158.385 	100 	3.89229e+20 	4.04816e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
162.069 	100 	4.07761e+20 	4.24089e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
165.752 	100 	4.26723e+20 	4.43811e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
169.435 	100 	4.46116e+20 	4.63981e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
173.119 	100 	4.6594e+20 	4.84599e+20 	0 	0 	0 	1 	0 	0 	1 	0.5 	0 	0 	
