0 	20000 	4.22338e+21 	
0.11 	19960.7 	7.78214e+20 	
0.12 	19921.5 	7.78214e+20 	
0.13 	19882.2 	7.78214e+20 	
0.14 	19842.9 	7.78214e+20 	
0.15 	19803.6 	7.78214e+20 	
0.16 	19764.4 	7.78214e+20 	
0.17 	19725.1 	7.78214e+20 	
0.18 	19685.8 	7.78214e+20 	
0.19 	19646.6 	7.78214e+20 	
0.2 	19607.3 	7.78214e+20 	
0.21 	19568 	7.78214e+20 	
0.22 	19528.7 	7.78214e+20 	
0.23 	19489.5 	7.78214e+20 	
0.24 	19450.2 	7.78214e+20 	
0.25 	19410.9 	7.78214e+20 	
0.26 	19371.7 	7.78214e+20 	
0.27 	19332.4 	7.78214e+20 	
0.28 	19293.1 	7.78214e+20 	
0.29 	19253.8 	7.78214e+20 	
0.3 	19214.6 	7.78214e+20 	
0.31 	19175.3 	7.78214e+20 	
0.32 	19136 	7.78214e+20 	
0.33 	19096.8 	7.78214e+20 	
0.34 	19057.5 	7.78214e+20 	
0.35 	19018.2 	7.78214e+20 	
0.36 	18978.9 	7.78214e+20 	
0.37 	18939.7 	7.78214e+20 	
0.38 	18900.4 	7.78214e+20 	
0.39 	18861.1 	7.78214e+20 	
0.4 	18821.9 	7.78214e+20 	
0.41 	18782.6 	7.78214e+20 	
0.42 	18743.3 	7.78214e+20 	
0.43 	18704 	7.78214e+20 	
0.44 	18664.8 	7.78214e+20 	
0.45 	18625.5 	7.78214e+20 	
0.46 	18586.2 	7.78214e+20 	
0.47 	18547 	7.78214e+20 	
0.48 	18507.7 	7.78214e+20 	
0.49 	18468.4 	7.78214e+20 	
0.5 	18429.1 	7.78214e+20 	
0.51 	18389.9 	7.78214e+20 	
0.52 	18350.6 	7.78214e+20 	
0.53 	18311.3 	7.78214e+20 	
0.54 	18272.1 	7.78214e+20 	
0.55 	18232.8 	7.78214e+20 	
0.56 	18193.5 	7.78214e+20 	
0.57 	18154.2 	7.78214e+20 	
0.58 	18115 	7.78214e+20 	
0.59 	18075.7 	7.78214e+20 	
0.6 	18036.4 	7.78214e+20 	
0.61 	17997.2 	7.78214e+20 	
0.62 	17957.9 	7.78214e+20 	
0.63 	17918.6 	7.78214e+20 	
0.64 	17879.4 	7.78214e+20 	
0.65 	17840.1 	7.78214e+20 	
0.66 	17800.8 	7.78214e+20 	
0.67 	17761.5 	7.78214e+20 	
0.68 	17722.3 	7.78214e+20 	
0.69 	17683 	7.78214e+20 	
0.7 	17643.7 	7.78214e+20 	
0.71 	17604.5 	7.78214e+20 	
0.72 	17565.2 	7.78214e+20 	
0.73 	17525.9 	7.78214e+20 	
0.74 	17486.6 	7.78214e+20 	
0.75 	17447.4 	7.78214e+20 	
0.76 	17408.1 	7.78214e+20 	
0.77 	17368.8 	7.78214e+20 	
0.78 	17329.6 	7.78214e+20 	
0.79 	17290.3 	7.78214e+20 	
0.8 	17251 	7.78214e+20 	
0.81 	17211.7 	7.78214e+20 	
0.82 	17172.5 	7.78214e+20 	
0.83 	17133.2 	7.78214e+20 	
0.84 	17093.9 	7.78214e+20 	
0.85 	17054.7 	7.78214e+20 	
0.86 	17015.4 	7.78214e+20 	
0.87 	16976.1 	7.78214e+20 	
0.88 	16936.8 	7.78214e+20 	
0.89 	16897.6 	7.78214e+20 	
0.9 	16858.3 	7.78214e+20 	
0.91 	16819 	7.78214e+20 	
0.92 	16779.8 	7.78214e+20 	
0.93 	16740.5 	7.78214e+20 	
0.94 	16701.2 	7.78214e+20 	
0.95 	16661.9 	7.78214e+20 	
0.96 	16622.7 	7.78214e+20 	
0.97 	16583.4 	7.78214e+20 	
0.98 	16544.1 	7.78214e+20 	
0.99 	16504.9 	7.78214e+20 	
1 	16465.6 	7.78214e+20 	
1.01 	16426.3 	7.78214e+20 	
1.02 	16387 	7.78214e+20 	
1.03 	16347.8 	7.78214e+20 	
1.04 	16308.5 	7.78214e+20 	
1.05 	16269.2 	7.78214e+20 	
1.06 	16230 	7.78214e+20 	
1.07 	16190.7 	7.78214e+20 	
1.08 	16151.4 	7.78214e+20 	
1.09 	16112.1 	7.78214e+20 	
1.1 	16072.9 	7.78214e+20 	
1.11 	16033.6 	7.78214e+20 	
1.12 	15994.3 	7.78214e+20 	
1.13 	15955.1 	7.78214e+20 	
1.14 	15915.8 	7.78214e+20 	
1.15 	15876.5 	7.78214e+20 	
1.16 	15837.2 	7.78214e+20 	
1.17 	15798 	7.78214e+20 	
1.18 	15758.7 	7.78214e+20 	
1.19 	15719.4 	7.78214e+20 	
1.2 	15680.2 	7.78214e+20 	
1.21 	15640.9 	7.78214e+20 	
1.22 	15601.6 	7.78214e+20 	
1.23 	15562.3 	7.78214e+20 	
1.24 	15523.1 	7.78214e+20 	
1.25 	15483.8 	7.78214e+20 	
1.26 	15444.5 	7.78214e+20 	
1.27 	15405.3 	7.78214e+20 	
1.28 	15366 	7.78214e+20 	
1.29 	15326.7 	7.78214e+20 	
1.3 	15287.4 	7.78214e+20 	
1.31 	15248.2 	7.78214e+20 	
1.32 	15208.9 	7.78214e+20 	
1.33 	15169.6 	7.78214e+20 	
1.34 	15130.4 	7.78214e+20 	
1.35 	15091.1 	7.78214e+20 	
1.36 	15051.8 	7.78214e+20 	
1.37 	15012.5 	7.78214e+20 	
1.38 	14973.3 	7.78214e+20 	
1.39 	14934 	7.78214e+20 	
1.4 	14894.7 	7.78214e+20 	
1.41 	14855.5 	7.78214e+20 	
1.42 	14816.2 	7.78214e+20 	
1.43 	14776.9 	7.78214e+20 	
