Marc Neveu - 13 Aug. 2015
This file lists the quantities output by PHREEQC simulations generated by IcyDwarf’s ParamExploration() subroutine in Outputs/ParamExploration.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column	Quantity
308	Fe(OH)2+
309	FeOH+2
310	FeHPO4+
311	FeSO4+
312	Fe(SO4)2-
313	Fe+3
314	FeH2PO4+2
315	Fe2(OH)2+4
316	Fe3(OH)4+5
317	FeNO2+2
318	FeNO3+2
319	Gd+2
320	GdO2-
321	GdO2H
322	Gd(PO4)2-3
323	GdO+
324	GdOH+2
325	GdPO4
326	Gd(SO4)2-
327	Gd+3
328	Gd(HPO4)2-
329	GdSO4+
330	GdH2PO4+2
331	GdNO3+2
332	GdHPO4+
333	H2
334	KSO4-
335	K+
336	KOH
337	KHPO4-
338	KP2O7-3
339	KHSO4
340	LiSO4-
341	Li+
342	LiOH
343	MgSO4
344	Mg+2
345	MgPO4-
346	MgHPO4
347	MgP2O7-2
348	MgH2PO4+
349	Mg4(OH)4+4
350	MnSO4
351	Mn+2
352	MnPO4-
353	MnOH+
354	Mn(OH)2
355	MnHPO4
356	Mn2(OH)3+
357	Mn(OH)3-
358	Mn(OH)4-2
359	MnH2PO4+
360	Mn2OH+3
361	MnNO3+
362	Mn(NO3)2
363	Mn+3
364	MnO4-2
365	MnO4-
366	MoO4-2
367	N3-
368	HN3
369	ZnN3+
370	UO2N3+
371	Zn(N3)2
372	UO2(N3)2
373	UO2(N3)3-
374	UO2(N3)4-2
375	NH3
376	NH4+
377	NH4SO4-
378	Zn(NH3)+2
379	Ni(NH3)2+2
380	Zn(NH3)2+2
381	Zn(NH3)3+2
382	Zn(NH3)4+2
383	Ni(NH3)6+2
384	N2
385	NO2-
386	HNO2
387	NO3-
388	HNO3
389	NiNO3+
390	SmNO3+2
391	UO2NO3+
392	UNO3+3
393	Ni(NO3)2
394	U(NO3)2+2
395	NaSO4-
396	Na+
397	NaHSiO3
398	NaOH
399	NaHPO4-
400	NaP2O7-3
401	Na2P2O7-2
402	NaHP2O7-2
403	NiSO4
404	Ni(OH)2
405	Ni+2
406	Ni(OH)3-
407	NiP2O7-2
408	NiHP2O7-
409	Ni2OH+3
410	Ni4(OH)4+4
411	O2
412	PH4+
413	PO4-3
414	HPO4-2
415	P2O7-4
416	H2PO4-
417	HP2O7-3
418	Sm(PO4)2-3
419	SmPO4
420	H3PO4
421	H2P2O7-2
422	ZnPO4-
423	SmHPO4+
424	UO2PO4-
425	ZnHPO4
426	Sm(HPO4)2-
427	UO2HPO4
428	H3P2O7-
429	SmH2PO4+2
430	Th(HPO4)3-2
431	Th(HPO4)2
432	UO2H2PO4+
433	H4P2O7
434	ZnH2PO4+
435	ThHPO4+2
436	UO2(H2PO4)2
437	UO2H3PO4+2
438	ThH2PO4+3
439	UO2(H2PO4)(H3PO4)+
440	Th(H2PO4)2+2
441	ThH3PO4+4
442	S-2
443	HS-
444	H2S
445	S2-2
446	S3-2
447	S4-2
448	S5-2
449	S2O3-2
450	HS2O3-
451	UO2S2O3
452	S2O4-2
453	SO3-2
454	HSO3-
455	SO2
456	H2SO3
457	UO2SO3
458	S2O6-2
459	S4O6-2
460	UO2(SO3)2-2
461	S3O6-2
462	S5O6-2
463	S2O5-2
464	SO4-2
465	HSO4-
466	Sm(SO4)2-
467	SmSO4+
468	ZnSO4
469	UO2(SO4)2-2
470	H2SO4
471	UO2SO4
472	Th(SO4)4-4
473	Th(SO4)2
474	Th(SO4)3-2
475	ThSO4+2
476	U(SO4)2
477	USO4+2
478	S2O8-2
479	HSO5-
480	Sc+3
481	HSiO3-
482	SiO2
483	H2SiO4-2
484	H4(H2SiO4)4-4
485	H6(H2SiO4)4-2
486	Sm+2
487	SmO2-
488	SmO2H
489	SmO+
490	SmOH+2
491	Sm+3
492	Th(OH)4
493	Th(OH)3+
494	Th(OH)2+2
495	ThOH+3
496	Th+4
497	Th2(OH)2+6
498	Th4(OH)8+8
499	Th6(OH)15+9
500	Ti(OH)4
501	U+3
502	U(OH)4
503	UOH+3
504	U+4
505	UO2+
506	UO2(OH)3-
507	UO2(OH)2
508	UO2(OH)4-2
509	UO2OH+
510	UO2+2
511	(UO2)2(OH)2+2
512	(UO2)3(OH)7-
513	(UO2)3(OH)5+
514	(UO2)2OH+3
515	(UO2)3(OH)4+2
516	(UO2)4(OH)7+
517	Zn(OH)2
518	ZnOH+
519	Zn(OH)3-
520	Zn(OH)4-2
521	Zn+2
522	(NH4)2SO4
523	d_(NH4)2SO4
524	(NH4)2SO4:2NH4NO3
525	d_(NH4)2SO4:2NH4NO3
526	(NH4)2SO4:3NH4NO3
527	d_(NH4)2SO4:3NH4NO3
528	(NH4)2SO4:Al2(SO4)3:24H2O
529	d_(NH4)2SO4:Al2(SO4)3:24H2O
530	(NH4)2SO4:Cr2(SO4)3:24H2O
531	d_(NH4)2SO4:Cr2(SO4)3:24H2O
532	(NH4)3H(SO4)2
533	d_(NH4)3H(SO4)2
534	(UO2)2Cl3
535	d_(UO2)2Cl3
536	(UO2)2P2O7
537	d_(UO2)2P2O7
538	(UO2)3(PO4)2
539	d_(UO2)3(PO4)2
540	(UO2)3(PO4)2:4H2O
541	d_(UO2)3(PO4)2:4H2O
542	[(6)(CB)(CB)S]
543	d_[(6)(CB)(CB)S]
544	[(aro)-O-(aro)]
545	d_[(aro)-O-(aro)]
546	Afwillite
547	d_Afwillite
548	Akermanite
549	d_Akermanite
550	Al
551	d_Al
552	Al2(SO4)3
553	d_Al2(SO4)3
554	Al2(SO4)3:6H2O
555	d_Al2(SO4)3:6H2O
556	Alabandite
557	d_Alabandite
558	Albite
559	d_Albite
560	Albite_high
561	d_Albite_high
562	Albite_low
563	d_Albite_low
564	Alum-K
565	d_Alum-K
566	Alum-Na
567	d_Alum-Na
568	Alunite
569	d_Alunite
570	Alunogen
571	d_Alunogen
572	Amesite-14A
573	d_Amesite-14A
574	Analcime
575	d_Analcime
576	Analcime-dehy
577	d_Analcime-dehy
578	Anatase
579	d_Anatase
580	Andalusite
581	d_Andalusite
582	Andradite
583	d_Andradite
584	Anhydrite
585	d_Anhydrite
586	Annite
587	d_Annite
588	Anorthite
589	d_Anorthite
590	Antarcticite
591	d_Antarcticite
592	Anthophyllite
593	d_Anthophyllite
594	Antigorite
595	d_Antigorite
596	Antlerite
597	d_Antlerite
598	Aphthitalite
599	d_Aphthitalite
600	Aragonite
601	d_Aragonite
602	Arcanite
603	d_Arcanite
604	Artinite
605	d_Artinite
606	Atacamite
607	d_Atacamite
608	Autunite-H
609	d_Autunite-H
610	Azurite
611	d_Azurite
612	B
613	d_B
614	B2O3
615	d_B2O3
616	Bassanite
617	d_Bassanite
618	Bassetite
619	d_Bassetite
620	Beidellite-Ca
621	d_Beidellite-Ca
622	Beidellite-H
623	d_Beidellite-H
624	Beidellite-K
625	d_Beidellite-K
626	Beidellite-Mg
627	d_Beidellite-Mg
628	Beidellite-Na
629	d_Beidellite-Na
630	Berlinite
631	d_Berlinite
632	Bieberite
633	d_Bieberite
634	Bilinite
635	d_Bilinite
636	Birnessite
637	d_Birnessite
638	Bischofite
639	d_Bischofite
640	Bixbyite
641	d_Bixbyite
642	Bloedite
643	d_Bloedite
644	Boehmite
645	d_Boehmite
646	Boltwoodite
647	d_Boltwoodite
648	Boltwoodite-Na
649	d_Boltwoodite-Na
650	Borax
651	d_Borax
652	Boric_acid
653	d_Boric_acid
654	Bornite
655	d_Bornite
656	Brezinaite
657	d_Brezinaite
658	Brochantite
659	d_Brochantite
660	Brucite
661	d_Brucite
662	Brushite
663	d_Brushite
664	Bunsenite
665	d_Bunsenite
666	Burkeite
667	d_Burkeite
668	C
669	d_C
670	Ca
671	d_Ca
672	Ca-Al_Pyroxene
673	d_Ca-Al_Pyroxene
674	Ca2Al2O5:8H2O
675	d_Ca2Al2O5:8H2O
676	Ca2Cl2(OH)2:H2O
677	d_Ca2Cl2(OH)2:H2O
678	Ca3Al2O6
679	  d_Ca3Al2O6
680	Ca4Al2Fe2O10
681	d_Ca4Al2Fe2O10
682	Ca4Al2O7:13H2O
683	d_Ca4Al2O7:13H2O
684	Ca4Al2O7:19H2O
685	d_Ca4Al2O7:19H2O
686	Ca4Cl2(OH)6:13H2O
687	d_Ca4Cl2(OH)6:13H2O
688	     CaAl2O4
689	   d_CaAl2O4
690	CaAl2O4:10H2O
691	d_CaAl2O4:10H2O
692	     Calcite
693	   d_Calcite
694	  Carnallite
695	d_Carnallite
696	CaSO4:0.5H2O(beta)
697	d_CaSO4:0.5H2O(beta)
698	  Cattierite
699	d_Cattierite
700	       CaUO4
701	     d_CaUO4
702	    Cejkaite
703	  d_Cejkaite
704	  Celadonite
705	d_Celadonite
706	Chalcanthite
707	d_Chalcanthite
708	  Chalcedony
709	d_Chalcedony
710	  Chalcocite
711	d_Chalcocite
712	Chalcocyanite
713	d_Chalcocyanite
714	Chalcopyrite
715	d_Chalcopyrite
716	Chamosite-7A
717	d_Chamosite-7A
718	Chloraluminite
719	d_Chloraluminite
720	Chloromagnesite
721	d_Chloromagnesite
722	    Chromite
723	  d_Chromite
724	 Chrysocolla
725	d_Chrysocolla
726	  Chrysotile
727	d_Chrysotile
728	Clinochlore-14A
729	d_Clinochlore-14A
730	Clinochlore-7A
731	d_Clinochlore-7A
732	Clinoptilolite-Ca
733	d_Clinoptilolite-Ca
734	Clinoptilolite-dehy-Ca
735	d_Clinoptilolite-dehy-Ca
736	Clinoptilolite-dehy-K
737	d_Clinoptilolite-dehy-K
738	Clinoptilolite-dehy-Na
739	d_Clinoptilolite-dehy-Na
740	Clinoptilolite-dehy-NH4
741	d_Clinoptilolite-dehy-NH4
742	Clinoptilolite-hy-Ca
743	d_Clinoptilolite-hy-Ca
744	Clinoptilolite-hy-K
745	d_Clinoptilolite-hy-K
746	Clinoptilolite-hy-Na
747	d_Clinoptilolite-hy-Na
748	Clinoptilolite-K
749	d_Clinoptilolite-K
750	Clinoptilolite-Na
751	d_Clinoptilolite-Na
752	Clinoptilolite-NH4
753	d_Clinoptilolite-NH4
754	Clinozoisite
755	d_Clinozoisite
756	          Co
757	        d_Co
758	    Co(NO3)2
759	  d_Co(NO3)2
760	     Co(OH)2
761	   d_Co(OH)2
762	     Co2SiO4
763	   d_Co2SiO4
764	   Co3(PO4)2
765	 d_Co3(PO4)2
766	       CoCl2
767	     d_CoCl2
768	  CoCl2:2H2O
769	d_CoCl2:2H2O
770	  CoCl2:6H2O
771	d_CoCl2:6H2O
772	     Coesite
773	   d_Coesite
774	     CoFe2O4
775	   d_CoFe2O4
776	   Coffinite
777	 d_Coffinite
778	      CoHPO4
779	    d_CoHPO4
780	  Colemanite
781	d_Colemanite
782	         CoO
783	       d_CoO
784	   Copiapite
785	 d_Copiapite
786	  Coquimbite
787	d_Coquimbite
788	Cordierite_anhyd
789	d_Cordierite_anhyd
790	Cordierite_hydr
791	d_Cordierite_hydr
792	    Corundum
793	  d_Corundum
794	         CoS
795	       d_CoS
796	       CoSO4
797	     d_CoSO4
798	CoSO4.3Co(OH)2
799	d_CoSO4.3Co(OH)2
800	  CoSO4:6H2O
801	d_CoSO4:6H2O
802	   CoSO4:H2O
803	 d_CoSO4:H2O
804	   Covellite
805	 d_Covellite
806	          Cr
807	        d_Cr
808	Cr2(SO4)3:16H2O
809	d_Cr2(SO4)3:16H2O
810	       CrCl3
811	     d_CrCl3
812	Cristobalite(alpha)
813	d_Cristobalite(alpha)
814	Cristobalite(beta)
815	d_Cristobalite(beta)
816	        CrO2
817	      d_CrO2
818	        CrO3
819	      d_CrO3
820	Cronstedtite-7A
821	d_Cronstedtite-7A
822	         CrS
823	       d_CrS
824	          Cu
825	        d_Cu
826	   Cu3(PO4)2
827	 d_Cu3(PO4)2
828	Cu3(PO4)2:3H2O
829	d_Cu3(PO4)2:3H2O
830	       CuCl2
831	     d_CuCl2
832	     CuCr2O4
833	   d_CuCr2O4
834	     Cuprite
835	   d_Cuprite
836	Daphnite-14A
837	d_Daphnite-14A
838	 Daphnite-7A
839	d_Daphnite-7A
840	  Darapskite
841	d_Darapskite
842	   Dawsonite
843	 d_Dawsonite
844	 Delafossite
845	d_Delafossite
846	    Diaspore
847	  d_Diaspore
848	Dicalcium_silicate
849	d_Dicalcium_silicate
850	    Diopside
851	  d_Diopside
852	    Dioptase
853	  d_Dioptase
854	    Dolomite
855	  d_Dolomite
856	Dolomite-dis
857	d_Dolomite-dis
858	Dolomite-ord
859	d_Dolomite-ord
860	   Enstatite
861	 d_Enstatite
862	     Epidote
863	   d_Epidote
864	 Epidote-ord
865	d_Epidote-ord
866	    Epsomite
867	  d_Epsomite
868	Erythrosiderite
869	d_Erythrosiderite
870	   Eskolaite
871	 d_Eskolaite
872	  Ettringite
873	d_Ettringite
874	          Eu
875	        d_Eu
876	Eu(NO3)3:6H2O
877	d_Eu(NO3)3:6H2O
878	Eu(OH)2.5Cl.5
879	d_Eu(OH)2.5Cl.5
880	   Eu(OH)2Cl
881	 d_Eu(OH)2Cl
882	     Eu(OH)3
883	   d_Eu(OH)3
884	Eu2(CO3)3:3H2O
885	d_Eu2(CO3)3:3H2O
886	Eu2(SO4)3:8H2O
887	d_Eu2(SO4)3:8H2O
888	Eu2O3(cubic)
889	d_Eu2O3(cubic)
890	Eu2O3(monoclinic)
891	d_Eu2O3(monoclinic)
892	       Eu3O4
893	     d_Eu3O4
894	       EuCl2
895	     d_EuCl2
896	       EuCl3
897	     d_EuCl3
898	  EuCl3:6H2O
899	d_EuCl3:6H2O
900	  Eucryptite
901	d_Eucryptite
902	         EuO
903	       d_EuO
904	       EuOCl
905	     d_EuOCl
906	     EuOHCO3
907	   d_EuOHCO3
908	 EuPO4:10H2O
909	d_EuPO4:10H2O
910	         EuS
911	       d_EuS
912	       EuSO4
913	     d_EuSO4
914	    Fayalite
915	  d_Fayalite
916	          Fe
917	        d_Fe
918	     Fe(OH)2
919	   d_Fe(OH)2
920	Fe2(SO4)3:2K2SO4:14H2O
921	d_Fe2(SO4)3:2K2SO4:14H2O
922	  FeCl2:4H2O
923	d_FeCl2:4H2O
924	  FeCl2:6H2O
925	d_FeCl2:6H2O
926	 FeCl3:10H2O
927	d_FeCl3:10H2O
928	         FeO
929	       d_FeO
930	Ferricopiapite
931	d_Ferricopiapite
932	Ferrihydrite
933	d_Ferrihydrite
934	  Ferrite-Ca
935	d_Ferrite-Ca
936	  Ferrite-Cu
937	d_Ferrite-Cu
938	Ferrite-Dicalcium
939	d_Ferrite-Dicalcium
940	  Ferrite-Mg
941	d_Ferrite-Mg
942	  Ferrite-Zn
943	d_Ferrite-Zn
944	 Ferrosilite
945	d_Ferrosilite
946	       FeSO4
947	     d_FeSO4
948	FeSO4:K2SO4:6H2O
949	d_FeSO4:K2SO4:6H2O
950	FeSO4:Na2SO4:4H2O
951	d_FeSO4:Na2SO4:4H2O
952	  Forsterite
953	d_Forsterite
954	   Foshagite
955	 d_Foshagite
956	  Gaylussite
957	d_Gaylussite
958	          Gd
959	        d_Gd
960	     Gd(OH)3
961	   d_Gd(OH)3
962	 Gd(OH)3(am)
963	d_Gd(OH)3(am)
964	   Gd2(CO3)3
965	 d_Gd2(CO3)3
966	       Gd2O3
967	     d_Gd2O3
968	 GdPO4:10H2O
969	d_GdPO4:10H2O
970	   Gehlenite
971	 d_Gehlenite
972	    Gibbsite
973	  d_Gibbsite
974	  Gismondine
975	d_Gismondine
976	  Glauberite
977	d_Glauberite
978	    Goethite
979	  d_Goethite
980	  Greenalite
981	d_Greenalite
982	    Grossite
983	  d_Grossite
984	   Grossular
985	 d_Grossular
986	      Gypsum
987	    d_Gypsum
988	    Gyrolite
989	  d_Gyrolite
990	  H2SO4:4H2O
991	d_H2SO4:4H2O
992	H2SO4:6.5H2O
993	d_H2SO4:6.5H2O
994	   Haiweeite
995	 d_Haiweeite
996	      Halite
997	    d_Halite
998	Halotrichite
999	d_Halotrichite
1000	   Hatrurite
1001	 d_Hatrurite
1002	 Hausmannite
1003	d_Hausmannite
1004	    HCl:3H2O
1005	  d_HCl:3H2O
1006	    HCl:6H2O
1007	  d_HCl:6H2O
1008	Heazlewoodite
1009	d_Heazlewoodite
1010	Hedenbergite
1011	d_Hedenbergite
1012	    Hematite
1013	  d_Hematite
1014	   Hercynite
1015	 d_Hercynite
1016	 Hexahydrite
1017	d_Hexahydrite
1018	Hillebrandite
1019	d_Hillebrandite
1020	   HNO3:3H2O
1021	 d_HNO3:3H2O
1022	     Hopeite
1023	   d_Hopeite
1024	     Huntite
1025	   d_Huntite
1026	Hydroboracite
1027	d_Hydroboracite
1028	 Hydrohalite
1029	d_Hydrohalite
1030	Hydromagnesite
1031	d_Hydromagnesite
1032	Hydromolysite
1033	d_Hydromolysite
1034	Hydrophilite
1035	d_Hydrophilite
1036	Hydroxyapatite
