Marc Neveu - 23 April 2017
This file lists the quantities output by PHREEQC simulations in Outputs_xx_xx.txt.
Each line corresponds to a simulation whose input parameters (temperature, pressure, etc.) are given in the first few columns.
Each column corresponds to a physical or chemical quantity (solution, solid, and gas composition) according to the list below.

Column		Quantity

0		Temperature (celsius)
1		Pressure (bar)
2		W:R by mass
3		Log fO2=FMQ±…

Initial speciated solution

4		pe(FMQ) at pH that balances charge
5		pH that balances charge at pe(output #6) ≠ pH that balances charge at pe(output #7)
6		pe of speciated solution at pH that balances charge (output #5)
7		pe of speciated solution at pH 7 = input pe at pH 7
291	 d_Anhydrite
292	      Annite
293	    d_Annite
294	   Anorthite
295	 d_Anorthite
296	Anthophyllite
297	d_Anthophyllite
298	  Antigorite
299	d_Antigorite
300	   Aragonite
301	 d_Aragonite
302	    Arcanite
303	  d_Arcanite
304	    Artinite
305	  d_Artinite
306	   Atacamite
307	 d_Atacamite
308	     Azurite
309	   d_Azurite
310	           B
311	         d_B
312	        B2O3
313	      d_B2O3
314	   Bassanite
315	 d_Bassanite
316	   Bassetite
317	 d_Bassetite
318	Beidellite-Ca
319	d_Beidellite-Ca
320	Beidellite-Fe
321	d_Beidellite-Fe
322	Beidellite-K
323	d_Beidellite-K
324	Beidellite-Mg
325	d_Beidellite-Mg
326	Beidellite-Na
327	d_Beidellite-Na
328	   Berlinite
329	 d_Berlinite
330	   Bieberite
331	 d_Bieberite
332	    Bixbyite
333	  d_Bixbyite
334	    Boehmite
335	  d_Boehmite
336	       Borax
337	     d_Borax
338	  Boric_acid
339	d_Boric_acid
340	     Bornite
341	   d_Bornite
342	  Brezinaite
343	d_Brezinaite
344	 Brochantite
345	d_Brochantite
346	     Brucite
347	   d_Brucite
348	   Bunsenite
349	 d_Bunsenite
350	           C
351	         d_C
352	          Ca
353	        d_Ca
354	Ca-Al_Pyroxene
355	d_Ca-Al_Pyroxene
356	    Ca3Al2O6
357	  d_Ca3Al2O6
358	Ca4Al2Fe2O10
359	d_Ca4Al2Fe2O10
360	     CaAl2O4
361	   d_CaAl2O4
362	     CaAl4O7
363	   d_CaAl4O7
364	     Calcite
365	   d_Calcite
366	  Cattierite
367	d_Cattierite
368	       CaUO4
369	     d_CaUO4
370	  Celadonite
371	d_Celadonite
372	Chalcanthite
373	d_Chalcanthite
374	  Chalcedony
375	d_Chalcedony
376	  Chalcocite
377	d_Chalcocite
378	Chalcocyanite
379	d_Chalcocyanite
380	Chalcopyrite
381	d_Chalcopyrite
382	   Chamosite
383	 d_Chamosite
384	Chloromagnesite
385	d_Chloromagnesite
386	    Chromite
387	  d_Chromite
388	  Chrysotile
389	d_Chrysotile
390	Clinochlore-14A
391	d_Clinochlore-14A
392	Clinochlore-7A
393	d_Clinochlore-7A
394	Clinoptilolite-Ca
395	d_Clinoptilolite-Ca
396	Clinoptilolite-K
397	d_Clinoptilolite-K
398	Clinoptilolite-Na
399	d_Clinoptilolite-Na
400	Clinozoisite
401	d_Clinozoisite
402	          Co
403	        d_Co
404	     Co2SiO4
405	   d_Co2SiO4
406	       CoCl2
407	     d_CoCl2
408	  CoCl2:2H2O
409	d_CoCl2:2H2O
410	  CoCl2:6H2O
411	d_CoCl2:6H2O
412	     Coesite
413	   d_Coesite
414	     CoFe2O4
415	   d_CoFe2O4
416	   Coffinite
417	 d_Coffinite
418	         CoO
419	       d_CoO
420	Cordierite_anhyd
421	d_Cordierite_anhyd
422	Cordierite_hydr
423	d_Cordierite_hydr
424	    Corundum
425	  d_Corundum
426	         CoS
427	       d_CoS
428	       CoSO4
429	     d_CoSO4
430	  CoSO4:6H2O
431	d_CoSO4:6H2O
432	   CoSO4:H2O
433	 d_CoSO4:H2O
434	   Covellite
435	 d_Covellite
436	          Cr
437	        d_Cr
438	       CrCl3
439	     d_CrCl3
440	Cristobalite(alpha)
441	d_Cristobalite(alpha)
442	Cristobalite(beta)
443	d_Cristobalite(beta)
444	        CrO2
445	      d_CrO2
