name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Ag(HS)2-,NA,Ag(HS)2-,aq,AZ01,NA,20.Oct.06,287,-6636,49,3.348,42.82,7.8651,11.4225,1.2604,-3.2512,13.9576,-2.3624,0.6367,-1
Ag(OH)2-,NA,Ag(OH)2-,aq,AZ01,NA,20.Oct.06,-61901,-88893,15.518,-23.3,-6.84,1.2839,-4.6464,7.5763,-2.5869,3.495,-7.7808,1.2039,-1
AgCl,NA,AgCl,aq,AZ01,NA,20.Oct.06,-17399,-18810,32.067,-5.33,21.63,4.275,3.7555,4.2739,-2.9343,3.0441,-4.1199,0,0
AgHS,NA,AgHS,aq,AZ01,NA,20.Oct.06,2791,4769,36.221,1.806,24.449,5.1106,4.697,3.9039,-2.9732,7.225,-2.6667,0,0
AgOH,NA,AgOH,aq,AZ01,NA,20.Oct.06,-22019,-31173,19.6,-6.42,0.365,1.8149,-3.3498,7.0667,-2.6405,2.4041,-4.3424,0,0
Cu+,NA,Cu+,aq,AZ01,NA,20.Oct.06,11940,19220,16.726,3.465,-3.542,1.4159,-4.3243,7.4497,-2.6002,11.4699,-2.3288,1,0.3587
CuCl2-,NA,CuCl2-,aq,AZ01,NA,20.Oct.06,-57610,-63330,57.669,-20.907,34.754,6.8266,8.8868,2.257,-3.1464,1.2891,-7.2932,0.8094,-1
Cu(HS)2-,NA,Cu(HS)2-,aq,AZ01,NA,20.Oct.06,-5942,-9825,56.997,-1.152,40.078,7.5438,10.638,1.5687,3.2188,12.6022,-3.2693,0.7794,-1
Cu(OH)2-,NA,Cu(OH)2-,aq,AZ01,NA,20.Oct.06,-77870,-106032,9.346,-32.486,-9.582,0.9626,-5.4309,7.8846,-2.5545,-0.5862,-9.652,1.3466,-1
CuCl,NA,CuCl,aq,AZ01,NA,20.Oct.06,-24594,-25824,30.455,-8.483,19.285,4.404,2.9716,4.582,-2.9018,1.195,-4.7626,0,0
CuHS,NA,CuHS,aq,AZ01,NA,20.Oct.06,-3401,883,45.557,-8.726,22.103,4.7896,3.9132,4.2119,-2.9408,5.3754,-3.3096,0,0
CuOH,NA,CuOH,aq,AZ01,NA,20.Oct.06,-31093,-38208,24.191,-11.378,-1.981,1.4939,-4.1337,7.3748,-2.6081,58.5587,-34.416,0,0
Au+,NA,Au+,aq,AZ01,NA,20.Oct.06,39000,45182,16.502,0.583,31.413,6.1161,7.152,2.9389,-3.0747,7.7764,-2.9158,0.139,1
AuCl2-,NA,AuCl2-,aq,AZ01,NA,20.Oct.06,-36795,-46664,47.161,-26.4,68.556,11.4774,20.2425,-2.2063,-3.6158,27.0677,-22.44,0.8623,-1
Au(HS)2-,NA,Au(HS)2-,aq,AZ01,NA,20.Oct.06,1829,-2569,58.63,-6.581,75.1,12.3562,22.3882,-3.0497,-3.7045,3.2978,-1.1247,0.8323,-1
Au(OH)2-,NA,Au(OH)2-,aq,AZ01,NA,20.Oct.06,-66553,-94664,12.899,-33.1,24.616,5.4533,5.5338,3.5749,-3.0078,-5.5091,-9.7771,0.8465,-1
AuCl,NA,AuCl,aq,AZ01,NA,20.Oct.06,-3184,-2077,41.727,-15.128,53.087,9.0294,14.2654,0.143,-3.3687,-2.6993,-6.1162,0,0
AuHS,NA,AuHS,aq,AZ01,NA,20.Oct.06,6434,9122,43.592,-6.212,56.448,9.4893,15.3883,-0.2984,-3.4152,-17.544,5.5766,0,0
AuOH,NA,AuOH,aq,AZ01,NA,20.Oct.06,-32716,-41533,21.89,-11.091,32.364,6.1937,7.3415,2.8644,-3.0825,-3.037,-3.9635,0,0
B(OH)3,NA,B(OH)3,aq,AVZP06,NA,20.Oct.06,-231540,-256292,38.79,25.5,39.43,10.5116,3.4435,-8.7834,-2.0767,38.798,-6.3554,0.047,0
B(OH)4-,NA,B(OH)4-,aq,AVZP06,NA,20.Oct.06,-275610,-321245,24.5,-1,24.83,11.4834,-3.1293,-12.8279,-2.6483,57.3099,-21.4432,1.6151,-1
B2O(OH)5-,NA,B2O(OH)5-,aq,AVZP06,NA,20.Oct.06,-449836,-505629,56.489,14.54,48.66,8.7139,13.4949,0.4458,-3.3369,21.6962,-0.0073,0.7681,-1
B3O3(OH)4-,NA,B3O3(OH)4-,aq,AVZP06,NA,20.Oct.06,-571297,-634049,43.459,41.57,51.53,9.1801,14.6334,-0.0017,-3.3839,39.3171,5.4316,0.9634,-1
B4O5(OH)4-2,NA,B4O5(OH)4-2,aq,AVZP06,NA,20.Oct.06,-734224,-822512,23.868,1.68,39.38,8.2421,12.343,0.8986,-3.2893,33.4423,-2.692,2.8816,-2
NaB(OH)4,NA,NaB(OH)4,aq,AVZP06,PSS95,20.Oct.06,-338545,-378857,39.034,71.99,32.11,12.6964,-9.7473,0.1952,-2.376,48.3573,11.6304,0,0
B(OH)3Cl-,NA,B(OH)3Cl-,aq,AVZP06,NA,20.Oct.06,-261682,-294503,54.002,6.87,48.18,8.6779,13.4071,0.4803,-3.3332,0.2482,7.0568,0.846,-1
AgCl3-2,NA,AgCl3-2,aq,AVZP06,NA,20.Oct.06,-82640,-105067,46.159,-7.91,86.06,14.504,27.6363,-5.1192,-3.9214,24.7396,-4.6459,2.544,-2
Eu(Ac)+2,NA,EuCH3COO+2,aq,ZKO06,NA,12.Sep.07,-229579,NA,-13.97,50.1,11.78,3.8683,1.6633,5.0962,-2.8478,47.3933,7.173,1.2998,2
Eu(Ac)2+,NA,Eu(CH3COO)2+,aq,ZKO06,NA,12.Sep.07,-320303,NA,18.26,151.1,67.15,11.0548,19.2109,-1.8009,-3.5732,97.1602,27.7439,0.2676,1
Eu(Ac)3,NA,Eu(CH3COO)3,aq,ZKO06,NA,12.Sep.07,-409817,NA,50.6,235.5,119.6,18.1311,36.4884,-8.5918,-4.2874,144.1841,44.9368,0,0
Y(Ac)+2,NA,YCH3COO+2,aq,TZS+07,NA,12.Sep.07,-255167,NA,-15.96,67,21.4,5.1976,4.9093,3.8204,-2.982,57.5855,10.6202,1.3299,2
Y(Ac)2+,NA,Y(CH3COO)2+,aq,TZS+07,NA,12.Sep.07,-345608,NA,23.67,122.4,76.3,12.2689,22.1747,-2.9658,-3.6957,79.5978,21.8995,0.1856,1
Y(Ac)3,NA,Y(CH3COO)3,aq,TZS+07,NA,12.Sep.07,-434930,NA,56.28,189.1,129.8,19.5214,39.883,-9.9261,-4.4278,116.9651,35.4761,0,0
NaH2AsO4,NA,NaH2AsO4,aq,MA07,MA10,12.Sep.07,-240179,-272608,41.2,37.8,41.1,7.3772,10.2352,1.1421,-3.2022,27.9202,4.6622,-0.038,0
KH2AsO4,NA,KH2AsO4,aq,MA07,MA10,12.Sep.07,-244935,-274352,54.5,21.9,52.4,8.9277,14.0226,-0.484,-3.3587,18.6125,1.4173,-0.038,0
MgH2AsO4+,NA,MgH2AsO4+,aq,MA07,MA10,12.Sep.07,-290910,-332717,-10.4,50.7,18.3,4.5105,3.2335,4.1483,-2.9127,42.265,7.2899,0.7009,1
CaH2AsO4+,NA,CaH2AsO4+,aq,MA07,MA10,12.Sep.07,-314170,-348007,18.5,45.8,22.2,4.8949,4.1724,3.7452,-2.9515,35.3597,6.2862,0.2639,1
SrH2AsO4+,NA,SrH2AsO4+,aq,MA07,MA10,12.Sep.07,-315896,-347841,27.3,40.1,22.9,4.9488,4.3041,3.6887,-2.957,30.8142,5.1312,0.1301,1
MnH2AsO4+,NA,MnH2AsO4+,aq,MA07,MA10,12.Sep.07,-236482,-270828,14.5,53.5,23.3,5.0617,4.5799,3.5702,-2.9684,40.4264,7.8583,0.3244,1
FeH2AsO4+,NA,FeH2AsO4+,aq,MA07,MA10,12.Sep.07,-205693,-243719,1,44.9,17.6,4.3531,2.849,4.3134,-2.8968,37.3097,6.1166,0.5283,1
CoH2AsO4+,NA,CoH2AsO4+,aq,MA07,MA10,12.Sep.07,-193388,-232357,-1.5,45.2,13.9,3.8628,1.6516,4.8275,-2.8473,37.7921,6.1625,0.5664,1
